"Source";"nr.results"
"Acquisition of singular-plural morphology  EBSCOhost";8
"Acquisition of word–object associations by 14-month-old infants  EBSCOhost";38
"Across the thin blue line  Police officers and racial bias in the decision ...  EBSCOhost";77
"Acting and Planning on the Basis of a False Belief  Its Effects on 3-Year-O...  EBSCOhost";10
"Acting Intentionally and the Side-Effect Effect";12
"Acting on Anger";14
"Acting on Observed Social Exclusion  Developmental Perspectives on Punishme...  EBSCOhost";31
"Acting, behaving, and the selfless basis of metaperception  EBSCOhost";2
"Action-oriented representations of implicit personality theories  EBSCOhost";21
"Action–state orientation  Construct validity of a revised measure and its r...  EBSCOhost";2
"Action Anticipation Through Attribution of False Belief by 2-Year-Olds";1
"Action Can Affect Auditory Perception";3
"Action Dynamics Reveal Parallel Competition in Decision Making";4
"Action embellishment  An intention bias in the perception of success  EBSCOhost";38
"Action type and goal type modulate goal-directed gaze shifts in 14-month-ol...  EBSCOhost";4
"Action Understanding in the Superior Temporal Sulcus Region";4
"Activating stereotypes undermines task performance expectations  EBSCOhost";16
"Activating transference without consciousness  Using significant-other repr...  EBSCOhost";19
"Activation by marginally perceptible ('subliminal') stimuli  Dissociation o...  EBSCOhost";1
"Activation of exemplars in the process of assessing social category attitud...  EBSCOhost";18
"Activation of Face Expertise and the Inversion Effect";7
"Activation of the attachment system in adulthood  Threat-related primes inc...  EBSCOhost";44
"Active coping reduces reports of pain from childbirth  EBSCOhost";25
"Active learning  Effects of core training design elements on self-regulator...  EBSCOhost";27
"Active learning  When is more better  The case of resident physicians’ medi...  EBSCOhost";2
"Active masks and active inhibition  A comment on Lleras and Enns (2004) and...  EBSCOhost";15
"Activity and mood temperament as predictors of adolescent substance use  Te...  EBSCOhost";1
"Actor-observer asymmetries in explanations of behavior  New answers to an o...  EBSCOhost";34
"Actual change and inaccurate recall contribute to posttraumatic growth foll...  EBSCOhost";12
"Actual versus assumed differences in construal  'Naive realism' in intergro...  EBSCOhost";36
"Acute and chronic distress and posstraumatic stress disorder as a function ...  EBSCOhost";18
"Acute and chronic low back pain  Cognitive, affective, and behavioral dimen...  EBSCOhost";31
"Acute Anxiety Impairs Accuracy in Identifying Photographed Faces";6
"Acute Stress Modulates Risk Taking in Financial Decision Making";14
"Adaptability in the workplace  Development of a taxonomy of adaptive perfor...  EBSCOhost";3
"Adaptation and validation of the Spanish-language Trauma Symptom Inventory ...  EBSCOhost";2
"Adaptation to divorce and ego development in adult women  EBSCOhost";3
"Adaptation to Faces and Voices";22
"Adaptive elements of aging  Self-image discrepancy, perfectionism, and eati...  EBSCOhost";4
"Adaptive patterns of stress responsivity  A preliminary investigation  EBSCOhost";2
"Adaptive reward pursuit  How effort requirements affect unconscious reward ...  EBSCOhost";35
"Adding fuel to fire  The impact of followers' arousal on ratings of charism...  EBSCOhost";11
"Adding Small Differences Can Increase Similarity and Choice";8
"Adding voucher-based incentives to coping skills and motivational enhanceme...  EBSCOhost";7
"Additional validity evidence for a measure of morningness  EBSCOhost";7
"Additivity of nonconscious affect  Combined effects of priming and exposure  EBSCOhost";34
"Additivity, subadditivity, and the use of visual information  A reply to Ma...  EBSCOhost";9
"Addressing alcohol use and problems in mandated college students  A randomi...  EBSCOhost";2
"Addressing heavy drinking in smoking cessation treatment  A randomized clin...  EBSCOhost";5
"Adjusting to death  The effects of mortality salience and self-esteem on ps...  EBSCOhost";9
"Adjustment in first-time mothers  Changes in mood and mood content during t...  EBSCOhost";8
"Adjustment of young adolescents in two-parent nuclear, stepfather, and moth...  EBSCOhost";3
"Adjustment to a dyadic stressor  A longitudinal study of coping and depress...  EBSCOhost";8
"Adjustment to a low-control situation  Reexamining the role of coping respo...  EBSCOhost";39
"Adjustment to rape  EBSCOhost";1
"Adjustment to the stress of simulated captivity  Effects of emotion-focused...  EBSCOhost";20
"Adler's psychology (of use) today  Personal history of traumatic life event...  EBSCOhost";5
"Adolescent-parent conflict in married and divorced families  EBSCOhost";32
"Adolescent Adjustment Before and After HIV-Related Parental Death  EBSCOhost";14
"Adolescent and family predictors of physical aggression, communication, and...  EBSCOhost";30
"Adolescent and Parent Alliance and Treatment Outcome in Multidimensional Fa...  EBSCOhost";11
"Adolescent attachment and psychopathology  EBSCOhost";3
"Adolescent drug use  Findings of national and local surveys  EBSCOhost";2
"Adolescent educational success and mental health vary across school engagem...  EBSCOhost";12
"Adolescent family experiences and educational attainment during early adult...  EBSCOhost";2
"Adolescent judgments of the personal, prudential, and normative aspects of ...  EBSCOhost";12
"Adolescent life experiences as predictors of occupational attainment  EBSCOhost";2
"Adolescent loneliness, self-disclosure, and private self-consciousness  A l...  EBSCOhost";22
"Adolescent outcome of boys with attention-deficit hyperactivity disorder an...  EBSCOhost";16
"Adolescent personality moderates genetic and environmental influences on re...  EBSCOhost";6
"Adolescent psychosocial risk factors for severe intimate partner violence i...  EBSCOhost";10
"Adolescent self-disclosure and loneliness  Private self-consciousness and p...  EBSCOhost";19
"Adolescent substance abuse treatment outcome  The role of substance abuse p...  EBSCOhost";3
"Adolescent Substance Use Outcomes in the Raising Healthy Children Project  ...  EBSCOhost";10
"Adolescents' Attachment Representations and Developmental Tasks in Emerging...  EBSCOhost";22
"Adolescents' emotional reactivity across relationship contexts  EBSCOhost";6
"Adolescents' explanations for political issues  Concordance with their view...  EBSCOhost";5
"Adolescents' exposure to sexy media does not hasten the initiation of sexua...  EBSCOhost";2
"Adolescents' implicit theories predict desire for vengeance after peer conf...  EBSCOhost";31
"Adolescents' participation in organized activities and developmental succes...  EBSCOhost";59
"Adolescents' Performance on the Iowa Gambling Task  Implications for the De...  EBSCOhost";21
"Adolescents' reasoning about exclusion from social groups  EBSCOhost";42
"Adolescents' reference-group choices, self-esteem, and adjustment  EBSCOhost";21
"Adolescents' social goals, beliefs about the causes of social success, and ...  EBSCOhost";6
"Adolescents' subjective distress over their emotional behavioral problems  EBSCOhost";29
"Adolescents' theories about the development of their relationships with par...  EBSCOhost";34
"Adolescents' thoughts about abstinence curb the return of marijuana use dur...  EBSCOhost";5
"Adolescents' well-being and perceived control across 14 sociocultural conte...  EBSCOhost";1
"Adolescents’ occupational and educational aspirations and expectations  Lin...  EBSCOhost";5
"Adoption results for self-reported personality  Evidence for nonadditive ge...  EBSCOhost";2
"Adult age differences in autobiographical reasoning in narratives  EBSCOhost";11
"Adult age differences in categorization and multiple-cue judgment  EBSCOhost";20
"Adult attachment and the defensive regulation of attention and memory  Exam...  EBSCOhost";3
"Adult attachment and the perception of facial expression of emotion  EBSCOhost";30
"Adult attachment and the suppression of unwanted thoughts  EBSCOhost";2
"Adult attachment and the transition to parenthood  EBSCOhost";35
"Adult attachment security and symptoms of depression  The mediating roles o...  EBSCOhost";5
"Adult attachment style and affect regulation  Strategic variations in self-...  EBSCOhost";42
"Adult attachment style and affect regulation  Strategic variations in subje...  EBSCOhost";27
"Adult attachment style and individual differences in functional versus dysf...  EBSCOhost";23
"Adult attachment style and information processing  Individual differences i...  EBSCOhost";9
"Adult attachment style and the perception of others  The role of projective...  EBSCOhost";23
"Adult attachment styles  Their relations to family context and personality  EBSCOhost";12
"Adult attachment, the transition to parenthood, and depressive symptoms  EBSCOhost";25
"Adult attachment, working models, and relationship quality in dating couple...  EBSCOhost";7
"Adult judgments and fine-grained analysis of infant facial expressions  Tes...  EBSCOhost";2
"Adult marijuana users seeking treatment  EBSCOhost";12
"Adult outcomes as a function of an early childhood educational program  An ...  EBSCOhost";1
"Adult romantic relationships as contexts of human development  A multimetho...  EBSCOhost";8
"Adults' failure on misleading weight-conservation tests  A developmental an...  EBSCOhost";11
"Adults' perceptions of experimental modifications of durations of pauses an...  EBSCOhost";13
"Adults' performance on horizontality tasks  Conflicting frames of reference  EBSCOhost";5
"Adults' understanding of young children's testimony  EBSCOhost";8
"Adults’ autonomic and subjective emotional responses to infant vocalization...  EBSCOhost";14
"Advance Preparation in Task Switching";37
"Advanced manufacturing technology, work design, and performance  A change s...  EBSCOhost";6
"Advancing videotape parent training  A comparison study  EBSCOhost";22
"Advent of objective measures of the transference concept  EBSCOhost";3
"Adverse School Context Moderates the Outcomes of Selective Interventions fo...  EBSCOhost";4
"Adversity before conception will affect adult progeny in rats  EBSCOhost";22
"Advice networks in teams  The role of transformational leadership and membe...  EBSCOhost";2
"Aerobic fitness and cognitive development  Event-related brain potential an...  EBSCOhost";54
"Aesthetic properties and message customization  Navigating the dark side of...  EBSCOhost";11
"Affect and adult self-regulation  EBSCOhost";23
"Affect and appraisal accuracy  Liking as an integral dimension in evaluatin...  EBSCOhost";2
"Affect and memory  Effects of pleasant and unpleasant odors on retrieval of...  EBSCOhost";8
"Affect and stereotyping  The effect of induced mood on distinctiveness-base...  EBSCOhost";29
"Affect as information in persuasion  A model of affect identification and d...  EBSCOhost";34
"Affect Grid  A single-item scale of pleasure and arousal  EBSCOhost";2
"Affect intensity  Separating intensity and frequency in repeatedly measured...  EBSCOhost";1
"Affect intensity and cardiac arousal  EBSCOhost";17
"Affect intensity and phasic REM sleep in depressed men before and after tre...  EBSCOhost";1
"Affect intensity and reactions to daily life events  EBSCOhost";12
"Affect Networks  A Structural Analysis of the Relationship Between Work Tie...  EBSCOhost";48
"Affect regulation and affective experience  Individual differences, group d...  EBSCOhost";2
"Affect regulation and the breadth of interpersonal engagement  EBSCOhost";7
"Affect spin and the emotion regulation process at work  EBSCOhost";1
"Affect, cognition, and awareness  Affective priming with optimal and subopt...  EBSCOhost";41
"Affect, culture, and morality, or is it wrong to eat your dog   EBSCOhost";52
"Affect, personality, and social activity  EBSCOhost";5
"Affect, verbal content, and psychophysiology in the arguments of couples wi...  EBSCOhost";16
"Affective-cognitive consistency and thought-induced attitude polarization  EBSCOhost";7
"Affective and cardiovascular responding to unpleasant events from adolescen...  EBSCOhost";4
"Affective and cognitive characteristics of depression in 10- and 11-year-ol...  EBSCOhost";25
"Affective and cognitive meta-bases of attitudes  Unique effects on informat...  EBSCOhost";41
"Affective commitment to the organization  The contribution of perceived org...  EBSCOhost";10
"Affective confounds in social-cognitive research  EBSCOhost";11
"Affective divergence  Automatic responses to others' emotions depend on gro...  EBSCOhost";34
"Affective Flexibility";26
"Affective incoherence  When affective concepts and embodied reactions clash  EBSCOhost";59
"Affective influences on partner choice  Role of mood in social decisions  EBSCOhost";71
"Affective influences on self-disclosure  Mood effects on the intimacy and r...  EBSCOhost";52
"Affective Influences on the Attentional Dynamics Supporting Awareness  EBSCOhost";11
"Affective mechanisms linking dysfunctional behavior to performance in work ...  EBSCOhost";3
"Affective mediators of intergroup contact  A three-wave longitudinal study ...  EBSCOhost";13
"Affective personality and the content of emotional social support  Coping i...  EBSCOhost";7
"Affective predictors of preschoolers' aggression and peer acceptance  Direc...  EBSCOhost";3
"Affective responses to conflictual discussions in violent and nonviolent co...  EBSCOhost";34
"Affective Signals of Threat Increase Perceived Proximity";14
"Affiliation motivation and daily experience  Some issues on gender differen...  EBSCOhost";39
"Affiliation motivation in everyday experience  A theoretical comparison  EBSCOhost";3
"Affiliation with Alcoholics Anonymous after treatment  A study of its thera...  EBSCOhost";7
"Affiliation with antisocial peers, susceptibility to peer influence, and an...  EBSCOhost";2
"Affiliation with delinquent peers as a mediator of the effects of multidime...  EBSCOhost";1
"Affirmation of Personal Values Buffers Neuroendocrine and Psychological Stress Responses";25
"Affirmation, acknowledgment of in-group responsibility, group-based guilt, ...  EBSCOhost";24
"Affirmed yet unaware  Exploring the role of awareness in the process of sel...  EBSCOhost";28
"African-American adolescents' knowledge, health-related attitudes, sexual b...  EBSCOhost";6
"After-Event Reviews  Drawing Lessons From Successful and Failed Experience  EBSCOhost";16
"After-school activities and the development of low-income urban children  A...  EBSCOhost";3
"Age-Related Changes in Attentional Reference Frames for Peripersonal Space";6
"Age-related changes in cardiovascular response as a function of a chronic s...  EBSCOhost";20
"Age-related changes in children's hedonic response to male body odor  EBSCOhost";66
"Age-related changes in children's use of external representations  EBSCOhost";17
"Age-related changes in decision making  Comparing informed and noninformed ...  EBSCOhost";29
"Age-related changes in odor discrimination  EBSCOhost";13
"Age-related changes in verbal and nonverbal memory during early childhood  EBSCOhost";11
"Age-related declines in working-memory skills  Evidence from a complex calc...  EBSCOhost";2
"Age-related differences and similarities in dual-task interference  EBSCOhost";181
"Age-related differences in profiles of mood-change trajectories  EBSCOhost";6
"Age-related differences in the organization of children's knowledge of illn...  EBSCOhost";5
"Age-relevance of person characteristics  Persons' beliefs about development...  EBSCOhost";4
"Age-sensitive cognitive abilities related to children's acquisition of spat...  EBSCOhost";9
"Age-specific associations between emotional responses to separation and cog...  EBSCOhost";2
"Age and drinking-related differences in the memory organization of alcohol ...  EBSCOhost";1
"Age and experience effects in spatial visualization  EBSCOhost";12
"Age and gender diversity as determinants of performance and health in a pub...  EBSCOhost";10
"Age and schooling effects in story recall and story production  EBSCOhost";13
"Age and sex differences in dyadic and group interaction  EBSCOhost";3
"Age and skill in visual search  EBSCOhost";24
"Age differences between children and young adults in the dynamics of dual-t...  EBSCOhost";2
"Age differences in reaction time and attention in a national telephone samp...  EBSCOhost";25
"Age differences in resistance to peer influence  EBSCOhost";14
"Age differences in self-perceptions of Type A traits  EBSCOhost";8
"Age differences in sensation seeking and impulsivity as indexed by behavior...  EBSCOhost";19
"Age differences in the monitoring of learning  Cross-sectional evidence of ...  EBSCOhost";27
"Age differences in the relationship between visual movement imagery and per...  EBSCOhost";5
"Age differences in visual search for compound patterns  Long- versus short-...  EBSCOhost";5
"Age differences in young children's responses to open-ended invitations in ...  EBSCOhost";17
"Age differences in, and consequences of, multiple- and variable-strategy us...  EBSCOhost";2
"Age discrimination in simulated employment contexts  An integrative analysi...  EBSCOhost";3
"Age preferences and mate choice among homosexuals and heterosexuals  A case...  EBSCOhost";11
"Age, individuality, and context as factors in sustained visual attention du...  EBSCOhost";6
"Age, Race, and Implicit Prejudice";6
"Agency and communion from the perspective of self versus others  EBSCOhost";31
"Agency and the construction of social preference  Between inequality aversi...  EBSCOhost";3
"Agency, communion, and well-being  Extending Helgeson's (1994) model  EBSCOhost";26
"Agency, control, and means€nds beliefs about school performance in Moscow c...  EBSCOhost";8
"Agentic women and communal leadership  How role prescriptions confer advant...  EBSCOhost";21
"Aggregating social behavior into person models  Perceiver-induced consisten...  EBSCOhost";5
"Aggress to impress  Hostility as an evolved context-dependent strategy  EBSCOhost";13
"Aggression against self and aggression against others in violent psychiatri...  EBSCOhost";8
"Aggression and psychopathology in childhood firesetters  Parent and child r...  EBSCOhost";19
"Aggression by whom–aggression toward whom  Behavioral predictors of same- a...  EBSCOhost";18
"Aggression in childhood and long-term unemployment in adulthood  A cycle of...  EBSCOhost";5
"Aggression toward female partners by at-risk young men  The contribution of...  EBSCOhost";5
"Aggression, hyperactivity, and inattention-immaturity  Behavior dimensions ...  EBSCOhost";1
"Aggressive behavior between siblings and the development of externalizing p...  EBSCOhost";3
"Aggressive versus nonaggressive antisocial behavior  Distinctive etiologica...  EBSCOhost";2
"Aggressive, prosocial, and nonsocial behavior in hyperactive boys  Dose eff...  EBSCOhost";12
"Aging and Attentional Biases for Emotional Faces";6
"Aging and attitude change  EBSCOhost";7
"Aging and emotional memory  The forgettable nature of negative images for o...  EBSCOhost";72
"Aging and lineup performance at long retention intervals  Effects of metame...  EBSCOhost";5
"Aging and source monitoring  Cognitive processes and neuropsychological cor...  EBSCOhost";1
"Aging and susceptibility to attitude change  EBSCOhost";10
"Aging and Wisdom";8
"Aging free from negative stereotypes  Successful memory in China among the ...  EBSCOhost";25
"Aging in rhesus monkeys  Different windows on behavioral continuity and cha...  EBSCOhost";7
"Aging Neuromodulation Impairs Associative Binding";1
"Aging, Subjective Experience, and Cognitive Control  Dramatic False Remembe...  EBSCOhost";24
"Agreeable fancy or disagreeable truth  Reconciling self-enhancement and sel...  EBSCOhost";10
"Agreeableness, empathy, and helping  A person × situation perspective  EBSCOhost";49
"Agreement and accuracy in children's interpersonal perception  A social rel...  EBSCOhost";2
"Agreement between self- and clinician-rated suicidal symptoms in a clinical...  EBSCOhost";4
"Agreement between therapists, parents, patients, and independent evaluators...  EBSCOhost";15
"Agreement on initial impressions  Differences due to perceivers, trait dime...  EBSCOhost";4
"Air pollution, weather, and violent crimes  Concomitant time-series analysi...  EBSCOhost";5
"Airport separations  A naturalistic study of adult attachment dynamics in s...  EBSCOhost";4
"Airport waiting areas as behavior settings  The role of legibility cues in ...  EBSCOhost";35
"Ajzen and Fishbein's theory of reasoned action as applied to moral behavior...  EBSCOhost";5
"Alcohol-aversion therapy  Relation between strength of aversion and abstine...  EBSCOhost";17
"Alcohol-Focused Spouse Involvement and Behavioral Couples Therapy  Evaluati...  EBSCOhost";8
"Alcohol and Aggression";1
"Alcohol and Aggression Without Consumption";9
"Alcohol and Group Formation";6
"Alcohol and sexual risk behaviors as mediators of the sexual victimization–...  EBSCOhost";9
"Alcohol and social behavior  I. The psychology of drunken excess  EBSCOhost";6
"Alcohol and social behavior  II. The helpful drunkard  EBSCOhost";29
"Alcohol consumption and workplace absenteeism  The moderating effect of soc...  EBSCOhost";6
"Alcohol Craving in Patients Diagnosed With a Severe Mental Illness and Alco...  EBSCOhost";2
"Alcohol dependence and abuse in three groups at varying familial alcoholism...  EBSCOhost";10
"Alcohol expectancies and the risk for alcoholism  EBSCOhost";11
"Alcohol myopia and condom use  Can alcohol intoxication be associated with ...  EBSCOhost";60
"Alcohol use disorders and cognitive abilities in young adulthood  A prospec...  EBSCOhost";6
"Alcohol Use During the Transition From Middle School to High School  Nation...  EBSCOhost";33
"Alcoholics Anonymous and Relapse Prevention as Maintenance Strategies After...  EBSCOhost";7
"Alcoholics Anonymous involvement and positive alcohol-related outcomes  Cau...  EBSCOhost";2
"Alexithymia, Not Autism, Predicts Poor Recognition of Emotional Facial Expressions";14
"All humanity is my ingroup  A measure and studies of identification with al...  EBSCOhost";2
"All roads lead to Rome  The impact of multiple attainment means on motivati...  EBSCOhost";44
"All smiles are positive, but some smiles are more positive than others  EBSCOhost";2
"All that you can be  Stereotyping of self and others in a military context  EBSCOhost";44
"Allegations of wrongdoing  The effects of reinforcement on children's munda...  EBSCOhost";18
"Alliance predicts patients' outcome beyond in-treatment change in symptoms  EBSCOhost";2
"Alone but feeling no pain  Effects of social exclusion on physical pain tol...  EBSCOhost";53
"Alone in a crowd of sheep  Asymmetric perceptions of conformity and their r...  EBSCOhost";38
"Alone is a crowd  Social motivations, social withdrawal, and socioemotional...  EBSCOhost";15
"Along the Rio Negro  Brazilian children's environmental views and values  EBSCOhost";8
"Alteration of memory in the reduction of children's distress during repeate...  EBSCOhost";27
"Altering Context Speech Rate Can Cause Words to Appear or Disappear";6
"Altering intergroup perceptions by altering prevailing mode of cognitive re...  EBSCOhost";18
"Altering misperception of sleep in insomnia  Behavioral experiment versus v...  EBSCOhost";19
"Alternate models of sibling status effects on health in later life  EBSCOhost";10
"Alternative formulas to predict the greatness of U.S. presidents  Personolo...  EBSCOhost";16
"Alternative reference points and outcome evaluation  The influence of affec...  EBSCOhost";42
"Alternatives to the sequential lineup  The importance of controlling the pi...  EBSCOhost";14
"Altruism reconsidered  The effect of denying feedback on a victim's status ...  EBSCOhost";12
"Alzheimer's dementia  Performance on the Mini-Mental State Examination  EBSCOhost";2
"Ambient belonging  How stereotypical cues impact gender participation in co...  EBSCOhost";73
"Ambiguity and self-evaluation  The role of idiosyncratic trait definitions ...  EBSCOhost";19
"Ambiguity in perception and experimentation  EBSCOhost";1
"Ambiguity in Social Categorization";7
"Ambiguous Group Membership Is Extracted Automatically From Faces";7
"Ambiguous Pronoun Resolution";4
"Ambivalence over emotional expression and reading emotions in situations an...  EBSCOhost";2
"Ambivalence over emotional expression and well-being  Nomothetic and idiogr...  EBSCOhost";2
"Ambivalence toward imposed change  The conflict between dispositional resis...  EBSCOhost";5
"Ambulatory cardiovascular activity in Vietnam combat veterans with and with...  EBSCOhost";25
"Ambulatory computer-assisted therapy for obesity  A new frontier for behavi...  EBSCOhost";10
"America's angriest home videos  Behavioral contingencies observed in home r...  EBSCOhost";8
"American = White   EBSCOhost";35
"Amodal Completion in Visual Search";5
"Amount of information about the attitude object and attitude–behavior consi...  EBSCOhost";11
"Amputees “Neglect” the Space Near Their Missing Hand";2
"Amygdala Responses to Emotionally Valenced Stimuli in Older and Younger Adults";3
"An 8-year study of multiple influences on drug use and drug use consequence...  EBSCOhost";3
"An Adaptive Approach for Identifying Cocaine Dependent Patients Who Benefit...  EBSCOhost";4
"An adaptive approach to family intervention  Linking engagement in family-c...  EBSCOhost";4
"An adaptive approach to human decision making  Learning theory, decision th...  EBSCOhost";7
"An Adaptive Cognitive Dissociation Between Willingness to Help Kin and Nonkin in Samoan Fa’afafine";14
"An additional antecedent of empathic concern  Valuing the welfare of the pe...  EBSCOhost";27
"An Age-Related Deficit in Prefrontal Cortical Function Associated With Refreshing Information";6
"An alternative approach to method effects by using latent-variable models  ...  EBSCOhost";16
"An alternative selection procedure  The low-fidelity simulation  EBSCOhost";1
"An Ambiguous-Race Illusion in Children's Face Memory";10
"An analysis of ideomotor action  EBSCOhost";12
"An analysis of managers' reactions to their own performance appraisal feedb...  EBSCOhost";1
"An Attentional Mechanism for Selecting Appropriate Actions Afforded by Graspable Objects";4
"An attributional analysis of excuse giving  Studies of a naive theory of em...  EBSCOhost";4
"An attributional analysis of reactions to stigmas  EBSCOhost";14
"An attributional analysis of the development of excuse giving in aggressive...  EBSCOhost";19
"An ecological analysis of the effects of deviant peer clustering on sexual ...  EBSCOhost";15
"An ecological study of child-mother attachments among Japanese sojourners i...  EBSCOhost";1
"An effectiveness trial of a dissonance-based eating disorder prevention pro...  EBSCOhost";5
"An effectiveness trial of a selected dissonance-based eating disorder preve...  EBSCOhost";4
"An electrophysiological signature of summed similarity in visual working me...  EBSCOhost";25
"An empirical comparison of self-report and discrepancy measures of goal com...  EBSCOhost";5
"An empirical examination of self-reported work stress among U.S. managers  EBSCOhost";2
"An empirical examination of the mechanisms mediating between high-performan...  EBSCOhost";16
"An empirical study of moral intuitions  Toward an evolutionary ethics  EBSCOhost";14
"An encoding-complex view of cognitive number processing  Comment on McClosk...  EBSCOhost";7
"An evaluation of a television-delivered behavioral weight loss program  Are...  EBSCOhost";14
"An evaluation of cognitive processing therapy for the treatment of posttrau...  EBSCOhost";10
"An evaluation of parental problem-solving training in the behavioral treatm...  EBSCOhost";13
"An event-based analysis of the coordination of early infant vocalizations a...  EBSCOhost";9
"An event-related potential analysis of extraversion and individual differen...  EBSCOhost";14
"An event history analysis of union joining and leaving  EBSCOhost";5
"An examination of 'nonleadership'  From laissez-faire leadership to leader ...  EBSCOhost";6
"An examination of crossover and spillover effects of spousal and expatriate...  EBSCOhost";16
"An examination of factors contributing to a reduction in subgroup differenc...  EBSCOhost";14
"An examination of family adjustment among Operation Desert Storm veterans  EBSCOhost";21
"An examination of learning processes during critical incident training  Imp...  EBSCOhost";17
"An examination of naive and experienced negotiators  EBSCOhost";16
"An examination of organizational and team commitment in a self-directed tea...  EBSCOhost";2
"An examination of stereotype threat effects on girls’ mathematics performan...  EBSCOhost";19
"An examination of the antecedents and moderator influences of climate stren...  EBSCOhost";14
"An examination of the dynamic relationship between self-efficacy and perfor...  EBSCOhost";21
"An examination of the impact of harsh parenting contexts on children's adap...  EBSCOhost";7
"An examination of the mediating role of psychological empowerment on the re...  EBSCOhost";1
"An examination of the role of perceived support and employee commitment in ...  EBSCOhost";21
"An exercise design approach to understanding assessment center dimension an...  EBSCOhost";2
"An existential function of enemyship  Evidence that people attribute influe...  EBSCOhost";36
"An expectancy model of laboratory preparedness effects  EBSCOhost";42
"An experience sampling study of learning, affect, and the demands control s...  EBSCOhost";2
"An experimental evaluation of theory-based mother and mother–child programs...  EBSCOhost";32
"An experimental investigation of infant social referencing  Mothers' messag...  EBSCOhost";11
"An experimental test of defensive processes in impression formation  EBSCOhost";5
"An experimental test of the impact of drug-testing programs on potential jo...  EBSCOhost";9
"An experimental test of three methods of alcohol risk reduction with young ...  EBSCOhost";17
"An exploratory analysis of American Indian children's cultural engagement, ...  EBSCOhost";4
"An exploratory study of pubertal maturation timing and self-esteem among ga...  EBSCOhost";15
"An extension of uncertainty management theory to the self  The relationship...  EBSCOhost";7
"An illusion of memory  False recognition influenced by unconscious percepti...  EBSCOhost";2
"An Independent Randomized Clinical Trial of Multisystemic Therapy With Non-...  EBSCOhost";4
"An information-processing approach to leniency in performance judgments  EBSCOhost";10
"An initial evaluation of the role of emotion and impulsivity in explaining ...  EBSCOhost";11
"An inkblot for attitudes  Affect misattribution as implicit measurement  EBSCOhost";38
"An input-process-output analysis of influence and performance in problem-so...  EBSCOhost";17
"An integrated components preventive intervention for aggressive elementary ...  EBSCOhost";2
"An Integration of Color and Motion Information in Visual Scene Analyses";4
"An integrative lens model approach to bias and accuracy in human inferences...  EBSCOhost";20
"An Interactive Psychoeducational Intervention for Women at Risk of Developi...  EBSCOhost";8
"An Internet intervention as adjunctive therapy for pediatric encopresis  EBSCOhost";4
"An Interpersonal Circumplex Model of Children's Social Goals  Links With Pe...  EBSCOhost";9
"An intraindividual process approach to the relationship between extraversio...  EBSCOhost";15
"An investigation of classroom situational dimensions of emotional and behav...  EBSCOhost";13
"An investigation of race and sex similarity effects in interviews  A multil...  EBSCOhost";3
"An investigation of sex discrimination in recruiters' evaluations of actual...  EBSCOhost";11
"An investigation of the role of working memory in procedural skill acquisit...  EBSCOhost";10
"An investigation of the validity of expert true score estimates in appraisa...  EBSCOhost";3
"An investigation of young infants' perceptual representations of speech sou...  EBSCOhost";6
"An investment model prediction of dating infidelity  EBSCOhost";1
"An online family intervention to reduce parental distress following pediatr...  EBSCOhost";7
"An Online Measure of Thought Suppression  EBSCOhost";3
"An unconscious desire for hierarchy  The motivated perception of dominance ...  EBSCOhost";21
"An under-met and over-met expectations model of employee reactions to merit...  EBSCOhost";4
"An Upside to Adversity ";2
"Analogical and category-based inference  A theoretical integration with Bay...  EBSCOhost";20
"Analysis of risk to children participating in a sociometric task  EBSCOhost";6
"Analysis of sensitive questions across cultures  An application of multigro...  EBSCOhost";2
"Analytic methods for modeling longitudinal data from rolling therapy groups...  EBSCOhost";3
"Analyzing change in short-term longitudinal research using cohort-sequentia...  EBSCOhost";3
"Analyzing meta-analysis  Potential problems, an unsuccessful replication, a...  EBSCOhost";1
"Analyzing milestones in smoking cessation  Illustration in a nicotine patch...  EBSCOhost";10
"Analyzing the development of individual differences in terms of Matthew eff...  EBSCOhost";8
"Analyzing true change in longitudinal multitrait-multimethod studies  Appli...  EBSCOhost";5
"Anatomy of a persuasion schema  Targets, goals, and strategies  EBSCOhost";5
"Anchoring and adjustment during social inferences  EBSCOhost";8
"Anchoring, efficacy, and action  The influence of judgmental heuristics on ...  EBSCOhost";23
"Androgyny across the life span  A replication and longitudinal followup  EBSCOhost";4
"Androgyny and leadership in mixed-sex groups  EBSCOhost";27
"Androgyny and sex role measurement  A personal construct approach  EBSCOhost";17
"Anger and advancement versus sadness and subjugation  The effect of negativ...  EBSCOhost";27
"Anger and frontal brain activity  EEG asymmetry consistent with approach mo...  EBSCOhost";3
"Anger as a predictor of aggression among incarcerated adolescents  EBSCOhost";10
"Anger regulation in disadvantaged preschool boys  Strategies, antecedents, ...  EBSCOhost";8
"Anger toward God  Social-cognitive predictors, prevalence, and links with a...  EBSCOhost";44
"Anger, hostility, and depression in domestically violent versus generally a...  EBSCOhost";4
"Anger, hostility, and posttraumatic stress disorder in trauma-exposed adult...  EBSCOhost";2
"Anger, impulsivity, and anger control in combat-related posttraumatic stres...  EBSCOhost";16
"Angry, Disgusted, or Afraid ";15
"Angry, guilty, and conflicted  Injustice toward coworkers heightens emotion...  EBSCOhost";13
"Animals and Androids";16
"Another look at sex stereotypes and social judgments  An analysis of the so...  EBSCOhost";8
